,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3
47,2350,1.2777254581451416,1.15775969788956e-06,1.275373935699463,0.0023503324482589,0.0,34,0.1428571428571428,0.8163761496543884,1.6020773045966052e-06,0.8142400979995728,0.002134455833584,0.0,35,0.0,0.9915458559989928,2.062316070805537e-06,0.9895792603492736,0.0019645357970148,0.0,27,0.0,0.8787009716033936,3.523632301494217e-07,0.8771274089813232,0.0015731866005808115,0.0,23,0.2857142857142857
48,2400,1.2672758102416992,2.351363718844368e-06,1.2649245262145996,0.0023489242885261,0.0,34,0.1428571428571428,0.8159642219543457,1.5427366406584042e-06,0.8138275742530823,0.0021351263858377,0.0,35,0.0,0.9991725087165833,1.7615869865039713e-06,0.9972150921821594,0.0019556514453142,0.0,27,0.0,0.8778311014175415,4.376080084966816e-07,0.8762593269348145,0.0015713709872215986,0.0,23,0.2857142857142857
49,2450,1.279802322387695,9.840631491897511e-07,1.2774540185928345,0.0023473363835364,0.0,34,0.1428571428571428,0.8180292844772339,2.613153810671065e-06,0.8158909678459167,0.0021356646902859,0.0,35,0.0,0.9836706519126892,6.124069500401674e-07,0.9817224144935608,0.0019476672168821,0.0,27,0.0,0.875472366809845,8.176757546607405e-07,0.873901903629303,0.0015696428017690778,0.0,23,0.2857142857142857
50,2500,1.283958911895752,1.6795067949715303e-06,1.281611680984497,0.0023456101771444,0.0,34,0.1428571428571428,0.8194084167480469,1.7281420241488377e-06,0.8172707557678223,0.0021359114907681,0.0,35,0.0,0.9910481572151184,5.046566684541176e-07,0.98910790681839,0.0019397608703002,0.0,27,0.0,0.8734315037727356,1.7011446971082478e-06,0.8718618750572205,0.0015678927302360535,0.0,23,0.2857142857142857
51,2550,1.2808367013931274,1.1480449302325724e-06,1.2784918546676636,0.0023436376359313,0.0,34,0.1428571428571428,0.815492570400238,1.4558921748175635e-06,0.8133551478385925,0.0021359848324209,0.0,35,0.0,0.9873297214508056,5.032824788031576e-07,0.9853973388671876,0.0019319276325404,0.0,27,0.0,0.8792176246643066,8.608103030383063e-07,0.8776505589485168,0.0015662595396861434,0.0,23,0.2857142857142857
52,2600,1.2561204433441162,3.665704980448936e-06,1.2537755966186523,0.0023410958237946,0.0,33,0.1428571428571428,0.823431670665741,2.1663340703526046e-06,0.8212937116622925,0.0021358288358896,0.0,35,0.0,0.9867940545082092,2.9193433874752373e-06,0.984866976737976,0.0019241736736148,0.0,27,0.0,0.8804439306259155,5.412281893768522e-07,0.8788787126541138,0.0015646839747205377,0.0,23,0.2857142857142857
53,2650,1.2761391401290894,2.186535311921034e-06,1.2737988233566284,0.0023381514474749,0.0,33,0.1428571428571428,0.8145735263824463,1.5060459190863185e-06,0.8124364614486694,0.0021355624776333,0.0,35,0.0,0.9943978190422058,7.362321525761217e-07,0.9924806356430054,0.0019164528930559,0.0,27,0.0,0.8823584318161011,5.399699603003683e-07,0.8807948231697083,0.0015630769776180387,0.0,23,0.2857142857142857
54,2700,1.272563338279724,1.5668334754082025e-06,1.2702269554138184,0.0023348676040768,0.0,32,0.1428571428571428,0.8202069401741028,1.5877525356700062e-06,0.8180701732635498,0.0021351382602006,0.0,35,0.0,0.993977427482605,5.866303922630323e-07,0.99206805229187,0.001908775884658,0.0,27,0.0,0.8812808990478516,1.2245794778209529e-06,0.8797180652618408,0.0015615689335390925,0.0,23,0.2857142857142857
55,2750,1.2805263996124268,1.355845029138436e-06,1.2781938314437866,0.0023312729317694,0.0,32,0.2857142857142857,0.8197813630104065,1.5537134459009394e-06,0.8176453113555908,0.0021344751585274,0.0,35,0.0,0.9860804080963136,3.17689284656808e-07,0.9841789603233336,0.0019011250697076,0.0,27,0.0,0.8802168965339661,3.0538893724951777e-07,0.8786556124687195,0.0015609876718372107,0.0,22,0.2857142857142857
56,2800,1.2745808362960815,1.076421881407441e-06,1.2722513675689695,0.0023283762857317,0.0,32,0.2857142857142857,0.8147667050361633,1.468804157411796e-06,0.8126314878463745,0.0021337352227419,0.0,35,0.0,0.9907652735710144,2.528591096506716e-07,0.988871455192566,0.0018935613334178,0.0,27,0.0,0.880426824092865,6.705893724756606e-07,0.8788673877716064,0.001558757619932294,0.0,22,0.2857142857142857
57,2850,1.274317741394043,1.563472665111476e-06,1.2719905376434326,0.0023256293497979,0.0,32,0.2857142857142857,0.8282396793365479,2.8537340313050663e-06,0.8261039853096008,0.0021328232251107,0.0,35,0.0,0.991714894771576,6.10001336553978e-07,0.9898282885551452,0.0018859920091927,0.0,27,0.0,0.8791406154632568,3.04814051332869e-07,0.877583384513855,0.0015569545794278383,0.0,22,0.2857142857142857
58,2900,1.2797422409057615,5.324681296769995e-06,1.2774139642715454,0.0023228707723319,0.0,32,0.2857142857142857,0.8176841139793396,1.6213401750064804e-06,0.8155507445335388,0.0021317568607628,0.0,35,0.0,0.9920057654380798,4.012957219856617e-07,0.99012690782547,0.0018784223357215,0.0,27,0.0,0.8788596391677856,3.4272440530003223e-07,0.8773036003112793,0.0015556636499240994,0.0,22,0.2857142857142857
59,2950,1.2751511335372925,1.0491490911590515e-06,1.2728296518325806,0.0023203918244689,0.0,32,0.2857142857142857,0.8178281784057617,1.33484775233228e-06,0.8156963586807251,0.0021304911933839,0.0,35,0.0,0.9905120134353638,3.735736129328871e-07,0.9886407852172852,0.0018708673305809,0.0,27,0.0,0.8793601393699646,3.333186953113909e-07,0.8778054714202881,0.001554295769892633,0.0,22,0.2857142857142857
60,3000,1.2766090631484983,1.2474587265387529e-06,1.2742897272109983,0.0023180942516773,0.0,32,0.2857142857142857,0.818717360496521,1.3938235952082325e-06,0.8165868520736694,0.0021291300654411,0.0,35,0.0,0.9902327656745912,2.2820104561560586e-07,0.9883692860603333,0.0018632544670253,0.0,27,0.0,0.8775773644447327,8.337941039826546e-07,0.876023530960083,0.0015529912197962403,0.0,22,0.2857142857142857
61,3050,1.2766846418380735,1.122963908528618e-06,1.2743679285049438,0.0023156425449997,0.0,32,0.2857142857142857,0.8093839287757874,3.372967057657661e-06,0.8072529435157776,0.0021276108454912,0.0,35,0.0,0.986499011516571,6.497440949715383e-07,0.9846425652503968,0.0018557908479124,0.0,27,0.0,0.8786801099777222,3.1233619779413857e-07,0.8771281242370605,0.0015516766579821706,0.0,22,0.2857142857142857
62,3100,1.273280143737793,1.083382812794298e-06,1.2709659337997437,0.0023131337948143,0.0,32,0.2857142857142857,0.8188783526420593,1.3423396012512967e-06,0.8167510032653809,0.0021259512286633,0.0,35,0.0,0.9925973415374756,3.18378226893401e-07,0.9907488226890564,0.0018482409650459,0.0,27,0.0,0.8782735466957092,3.317504251754144e-06,0.8767197728157043,0.0015504222828894854,0.0,22,0.2857142857142857
