,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4
51,2550.0,0.0004131137684453279,0.0005595597322098911,3.4443646654835902e-06,0.0,8,13.0,0.0009147566743195057,0.0007058595074340701,2.6064440135087352e-06,0.0,9,14.0,0.0006710457964800298,0.0005708976532332599,1.5036570175652741e-06,0.0,4,9.0,0.0003081177710555494,0.0003871917724609375,4.777253707288764e-06,0.0,8,9.0,0.00036591835669241846,0.0004496416950132698,2.7657711143547203e-06,0.0,7,10.0
52,2600.0,0.00039822052349336445,0.0005578710115514696,3.457739239820512e-06,0.0,8,13.0,0.0008699722238816321,0.0006968977977521718,2.6187394723820034e-06,0.0,9,14.0,0.0006381943821907043,0.000564397603739053,1.515135863883188e-06,0.0,4,9.0,0.00027010534540750086,0.00037001576856710017,4.819217792828567e-06,0.0,7,8.0,0.00034897663863375783,0.0004466211539693177,2.7769774533226155e-06,0.0,7,10.0
53,2650.0,0.00037442316533997655,0.000556141312699765,3.470047886366956e-06,0.0,8,13.0,0.0008323634974658489,0.0006887525669299066,2.6297959720977815e-06,0.0,9,14.0,0.0006037887651473284,0.000558139814529568,1.5262365877788397e-06,0.0,4,9.0,0.0002712734858505428,0.00035293042310513556,4.873778834735276e-06,0.0,7,8.0,0.0003305651480332017,0.00044371013063937426,2.790158987409086e-06,0.0,7,10.0
54,2700.0,0.0004383302584756166,0.0005536560202017426,3.479102133496781e-06,0.0,8,13.0,0.0008130691130645573,0.0006814899970777333,2.6411776161694434e-06,0.0,9,14.0,0.0005691009573638439,0.0005522575811482966,1.5374985196103808e-06,0.0,4,9.0,0.00024476958788000047,0.00033830793108791113,4.925823304802179e-06,0.0,7,8.0,0.00031394310644827783,0.0004410479450598359,2.805999201882514e-06,0.0,7,10.0
55,2750.0,0.00036721062497235835,0.00055174675071612,3.4866111491282936e-06,0.0,8,13.0,0.0007694480009377003,0.0006745136925019324,2.652782768564066e-06,0.0,8,13.0,0.000534319260623306,0.0005473564378917217,1.5481012951568118e-06,0.0,4,9.0,0.00023844963288865983,0.0003271905006840825,4.975194315193221e-06,0.0,7,8.0,0.0002936515084002167,0.0004382293554954231,2.8249378374312073e-06,0.0,7,10.0
56,2800.0,0.0003288837324362248,0.0005503246793523431,3.4918000437755836e-06,0.0,8,13.0,0.0007368455990217626,0.0006691816379316151,2.671574065971072e-06,0.0,8,13.0,0.0005115808453410864,0.0005421501700766385,1.5582374999212334e-06,0.0,4,9.0,0.00022675711079500616,0.00031724185100756586,5.0227354222442955e-06,0.0,7,8.0,0.00027752164169214666,0.0004354143457021564,2.846959432645235e-06,0.0,7,10.0
57,2850.0,0.00034788003540597856,0.0005484263529069722,3.4944330309372162e-06,0.0,8,13.0,0.0007041580975055695,0.000663071870803833,2.68330268227146e-06,0.0,8,13.0,0.0004798775480594486,0.0005373160820454359,1.5683186802561977e-06,0.0,4,9.0,0.00020126132585573941,0.00031060725450515747,5.068372502137208e-06,0.0,7,8.0,0.000257485662586987,0.0004328360955696553,2.8709946491289884e-06,0.0,7,10.0
58,2900.0,0.0002976160903926939,0.0005464728455990553,3.4947379390359856e-06,0.0,8,13.0,0.0006794215878471732,0.0006574400467798114,2.6934308152704034e-06,0.0,8,13.0,0.00045517581747844815,0.0005334587185643613,1.5780624380568042e-06,0.0,4,9.0,0.00018961691239383072,0.0003046869533136487,5.112522103445372e-06,0.0,7,8.0,0.00025860313326120377,0.0004304929752834141,2.8982356070628157e-06,0.0,7,10.0
59,2950.0,0.00028495394508354366,0.0005446367431432009,3.4930731089843903e-06,0.0,8,13.0,0.0006449714419431984,0.0006514409906230867,2.70440955318918e-06,0.0,8,13.0,0.00047223365982063115,0.0005285167135298252,1.5872607264100225e-06,0.0,4,9.0,0.0001865150115918368,0.0002995111863128841,5.15520196131547e-06,0.0,7,8.0,0.00022684215218760073,0.00042791670421138406,2.9275358883751323e-06,0.0,7,10.0
60,3000.0,0.0002775732718873769,0.000542510999366641,3.48953585671552e-06,0.0,8,13.0,0.0006165048689581454,0.0006457712152041495,2.715222535698558e-06,0.0,8,13.0,0.0004041202482767403,0.0005253791459836066,1.5958084986777976e-06,0.0,4,9.0,0.00017999575356952846,0.00029557867674157023,5.19544119015336e-06,0.0,7,8.0,0.00020848297572229058,0.00042533467058092356,2.9588877623609733e-06,0.0,7,10.0
