,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1
73,3650,1.910269020299893e-05,5.312761004461208e-06,8.548202458769083e-06,5.241727194515988e-06,0.0,15,0.42857142857142855,1.1052422451029997e-05,1.0075204954773653e-06,2.5521696898067603e-06,7.492732038372196e-06,0.0,14,0.14285714285714285
74,3700,1.673750375630334e-05,3.352144403834245e-06,8.161008736351505e-06,5.2243512982386164e-06,0.0,15,0.42857142857142855,1.06710158433998e-05,7.537857982242713e-07,2.4765602120169206e-06,7.440669378411258e-06,0.0,14,0.14285714285714285
75,3750,1.6775933545432054e-05,3.4315442007937236e-06,8.137641998473555e-06,5.2067471187911e-06,0.0,15,0.42857142857142855,1.0515002941247076e-05,6.949464363970037e-07,2.430925405860762e-06,7.389131042145891e-06,0.0,14,0.14285714285714285
76,3800,1.7174255845020525e-05,3.884918442054186e-06,8.100174454739317e-06,5.189162493479671e-06,0.0,15,0.42857142857142855,1.05553363027866e-05,8.286004344881803e-07,2.3885345399321523e-06,7.338201157836011e-06,0.0,14,0.14285714285714285
77,3850,1.7158887203549966e-05,4.004113179689739e-06,7.98309065430658e-06,5.171683824300999e-06,0.0,15,0.42857142857142855,1.0345775990572292e-05,7.083627338033693e-07,2.3500158476963406e-06,7.287397238542326e-06,0.0,14,0.14285714285714285
78,3900,1.677058571658563e-05,3.6180879305902636e-06,7.998714863788337e-06,5.153782240086002e-06,0.0,15,0.42857142857142855,1.049566526489798e-05,9.414749229108565e-07,2.3168454390543047e-06,7.237345016619656e-06,0.0,14,0.14285714285714285
79,3950,1.7272872355533764e-05,4.208607606415171e-06,7.927967999421526e-06,5.136296749697067e-06,0.0,15,0.42857142857142855,1.0309247045370284e-05,8.315823833981995e-07,2.289827307322412e-06,7.187837127275998e-06,0.0,14,0.14285714285714285
80,4000,1.6559846699237823e-05,3.6384042232384672e-06,7.802908839948941e-06,5.118533863424091e-06,0.0,15,0.42857142857142855,1.0158111763303168e-05,7.470488867511449e-07,2.2721858385921223e-06,7.138876753742807e-06,0.0,14,0.14285714285714285
81,4050,1.667596552579198e-05,3.7468882965185912e-06,7.828417437849566e-06,5.100660018797498e-06,0.0,15,0.42857142857142855,1.0216104783467017e-05,9.045097613125108e-07,2.22076505451696e-06,7.0908295128901955e-06,0.0,14,0.14285714285714285
82,4100,1.571399116073735e-05,2.9454320156219183e-06,7.685598575335462e-06,5.082959887658944e-06,0.0,15,0.42857142857142855,1.0187234693148639e-05,9.632417459215503e-07,2.1806695258419495e-06,7.043323421385139e-06,0.0,14,0.14285714285714285
83,4150,1.5869296476012096e-05,3.1530232718068874e-06,7.651346095371991e-06,5.064927790954243e-06,0.0,15,0.42857142857142855,9.7951879070024e-06,6.58589328850212e-07,2.1736600501753855e-06,6.962938641663641e-06,0.0,13,0.14285714285714285
84,4200,1.804726525733713e-05,5.258753390080528e-06,7.74162162997527e-06,5.046890237281332e-06,0.0,15,0.42857142857142855,9.828953807300422e-06,7.670753916499962e-07,2.116719315381488e-06,6.945159384486033e-06,0.0,12,0.2857142857142857
85,4250,1.5453826563316397e-05,2.862555220417562e-06,7.562314749520738e-06,5.028955911257071e-06,0.0,15,0.42857142857142855,9.813893484533764e-06,8.040498187256162e-07,2.0786885670531774e-06,6.931154530320782e-06,0.0,12,0.42857142857142855
86,4300,1.5702964446973056e-05,3.219589189029648e-06,7.472422566934256e-06,5.010952918382827e-06,0.0,15,0.42857142857142855,9.812761163630057e-06,8.48347838200425e-07,2.0470190520427423e-06,6.917394330230309e-06,0.0,12,0.42857142857142855
87,4350,1.7034204574883915e-05,4.317913408158347e-06,7.72340536059346e-06,4.992885351384757e-06,0.0,15,0.42857142857142855,9.775598300620914e-06,8.236177677645173e-07,2.0478239548538113e-06,6.904156180098653e-06,0.0,12,0.42857142857142855
88,4400,1.650828380661551e-05,4.0023364817898255e-06,7.531135906901909e-06,4.9748114179237746e-06,0.0,15,0.42857142857142855,9.922536264639348e-06,9.817498494157917e-07,2.049863951469888e-06,6.890923032187857e-06,0.0,12,0.42857142857142855
89,4450,1.5375901057268493e-05,3.006173983521876e-06,7.413108505716082e-06,4.956618795404211e-06,0.0,15,0.42857142857142855,1.0940178071905393e-05,2.0183415472274646e-06,2.0444015262910398e-06,6.877435225760564e-06,0.0,12,0.42857142857142855
90,4500,1.494490607001353e-05,2.696139745239634e-06,7.310271030291915e-06,4.938494839734631e-06,0.0,15,0.42857142857142855,9.848029549175408e-06,9.887928626994835e-07,1.9947633518313523e-06,6.864473562018247e-06,0.0,12,0.42857142857142855
91,4550,1.534980947326403e-05,3.0788366984779714e-06,7.3507903834979516e-06,4.920182618661784e-06,0.0,15,0.42857142857142855,9.562214472680353e-06,6.953385423003056e-07,2.015623977058567e-06,6.851252237538574e-06,0.0,12,0.42857142857142855
92,4600,1.5344092389568686e-05,3.191916903233505e-06,7.250129328895127e-06,4.9020472943084314e-06,0.0,15,0.42857142857142855,1.0402431144029833e-05,1.4888959185554995e-06,2.0753018361574505e-06,6.838232820882695e-06,0.0,12,0.42857142857142855
93,4650,1.4634497347287834e-05,2.60104729932209e-06,7.149519660742953e-06,4.883930159849115e-06,0.0,15,0.42857142857142855,9.4992437880137e-06,7.213534445327241e-07,1.947460305018467e-06,6.830429811088834e-06,0.0,12,0.42857142857142855
94,4700,1.4531642591464333e-05,2.539512479415862e-06,7.126194759621285e-06,4.865934442932485e-06,0.0,15,0.42857142857142855,1.6494441297254525e-05,7.428047865687404e-06,2.2439351141656516e-06,6.822457635280443e-06,0.0,12,0.42857142857142855
95,4750,1.4624149116571061e-05,2.6828679438040126e-06,7.093434760463424e-06,4.847846412303625e-06,0.0,15,0.42857142857142855,9.426321412320249e-06,6.733388318025391e-07,1.9391654859646223e-06,6.8138174356136005e-06,0.0,12,0.42857142857142855
96,4800,1.443245400878368e-05,2.5911790544341784e-06,7.011475190665806e-06,4.829799763683695e-06,0.0,15,0.42857142857142855,9.312399924965575e-06,6.122792228779872e-07,1.895274863272789e-06,6.804846179875312e-06,0.0,12,0.42857142857142855
97,4850,1.4848410501144826e-05,3.0269497983681504e-06,7.009926321188686e-06,4.811533926840639e-06,0.0,15,0.42857142857142855,9.321542165707797e-06,6.522470243908174e-07,1.873332053037302e-06,6.795962690375745e-06,0.0,12,0.42857142857142855
98,4900,1.5247385817929171e-05,3.4755787510221126e-06,6.977993962209439e-06,4.793813332071295e-06,0.0,15,0.42857142857142855,1.0008528988691978e-05,1.3173678325983929e-06,1.9045220369662275e-06,6.78663900544052e-06,0.0,12,0.42857142857142855
99,4950,1.4909441233612597e-05,3.214642447346705e-06,6.918938197486568e-06,4.775859906658297e-06,0.0,15,0.42857142857142855,1.1066855222452432e-05,2.288358246005373e-06,2.0009699710499262e-06,6.777527232770808e-06,0.0,12,0.42857142857142855
100,5000,1.5425277524627745e-05,3.7819534099980956e-06,6.8853846642014105e-06,4.7579396778019145e-06,0.0,15,0.42857142857142855,1.1787219591496978e-05,3.0864532618579688e-06,1.93266987480456e-06,6.7680966822081245e-06,0.0,12,0.42857142857142855
101,5050,1.3854090866516344e-05,2.2978681499807863e-06,6.816077984694857e-06,4.7401440497196745e-06,0.0,15,0.42857142857142855,1.2484197213780135e-05,3.7175402667344315e-06,2.008207729886635e-06,6.758449671906419e-06,0.0,12,0.42857142857142855
102,5100,1.376869113300927e-05,2.2853143946122145e-06,6.761190888937563e-06,4.722185167338466e-06,0.0,15,0.42857142857142855,9.556302757118829e-06,9.397791700394009e-07,1.8675045794225298e-06,6.7490195760910865e-06,0.0,12,0.42857142857142855
103,5150,1.411861194355879e-05,2.6581324163998943e-06,6.755932190571912e-06,4.704546881839633e-06,0.0,15,0.42857142857142855,9.717699867906049e-06,1.158502527687233e-06,1.8198146563008777e-06,6.7393825702311005e-06,0.0,12,0.42857142857142855
104,5200,1.5090315173438285e-05,3.6532442209136207e-06,6.750352440576535e-06,4.686718057200778e-06,0.0,15,0.42857142857142855,1.1462218026281334e-05,2.8589611247298308e-06,1.8733944671112113e-06,6.729862434440292e-06,0.0,12,0.42857142857142855
105,5250,1.3447350283968262e-05,2.129246695403708e-06,6.649007445957977e-06,4.669096597353928e-06,0.0,15,0.42857142857142855,9.226038855558727e-06,7.123360887817398e-07,1.7938945120477001e-06,6.719808425259544e-06,0.0,12,0.42857142857142855
106,5300,1.3752769518760033e-05,2.458406697769533e-06,6.643259439442772e-06,4.651102699426701e-06,0.0,15,0.42857142857142855,9.05275737750344e-06,5.735284389629669e-07,1.7687732452031923e-06,6.710455636493862e-06,0.0,12,0.42857142857142855
107,5350,1.4273859051172622e-05,3.028301762242336e-06,6.612278411921579e-06,4.633278877008706e-06,0.0,15,0.42857142857142855,9.345081707579084e-06,8.863680136528274e-07,1.757845097927202e-06,6.700869107589824e-06,0.0,12,0.42857142857142855
